Key, Type, Duration, Time Stamp
d,Hold,0.100000,9/2/2017 - 16:30:6
s,Hold,2.100000,9/2/2017 - 16:30:6
s,Release,,9/2/2017 - 16:30:6
d,Release,,9/2/2017 - 16:30:6
a,Hold,0.500000,9/2/2017 - 16:30:6
w,Hold,1.500000,9/2/2017 - 16:30:7
w,Release,,9/2/2017 - 16:30:7
a,Release,,9/2/2017 - 16:30:7
w,Hold,0.200000,9/2/2017 - 16:30:8
w,Hold,3.600000,9/2/2017 - 16:30:9
w,Hold,0.700000,9/2/2017 - 16:30:9
w,Release,,9/2/2017 - 16:30:9
d,Hold,1.400000,9/2/2017 - 16:30:9
s,Hold,11.700000,9/2/2017 - 16:30:10
s,Release,,9/2/2017 - 16:30:10
d,Release,,9/2/2017 - 16:30:10
